フェーズ,期間,指標,目標値,実績値,達成率,判定,備考
Phase A,Month 1-2,免許申請完了,1,0,0%,未達成,税務署事前相談・申請書類準備
Phase A,Month 1-2,仕入れ先確保,3社以上,0,0%,未達成,ワイナリー・インポーター交渉
Phase A,Month 1-2,ラベル印刷業者確定,1社,0,0%,未達成,単価500円以下での見積もり取得
Phase A,Month 1-2,商品サンプル制作,完了,0,0%,未達成,撮影用サンプル完成
Phase A,Month 1-2,Makuakeプロジェクト準備,完了,0,0%,未達成,ページ骨子・リターン設計完了
Phase B,Month 3-4,Makuake応援購入数,50本,0,0%,未達成,最低ライン15本、目標40本、理想50本以上
Phase B,Month 3-4,Makuake達成率,70%,0%,0%,未達成,Go基準70%以上、最低ライン30%
Phase B,Month 3-4,Makuake売上,60万円,0,0%,未達成,目標金額60万円（達成率70%想定）
Phase B,Month 3-4,CAC（顧客獲得単価）,2500円以下,0,0%,未達成,広告費÷獲得顧客数
Phase B,Month 3-4,顧客満足度,4.0/5.0以上,0,0%,未達成,レビュー・アンケート平均評価
Phase B,Month 3-4,免許取得完了,完了,0,0%,未達成,免許証受領（審査2ヶ月想定）
Phase C,Month 5-6,月間販売本数,5本以上,0,0%,未達成,EC本格稼働開始
Phase C,Month 7-8,月間販売本数,10本以上,0,0%,未達成,3ヶ月連続で月10本以上
Phase C,Month 9-10,月間販売本数,20本以上,0,0%,未達成,月20本 × 月商24万円
Phase C,Month 11-12,月間販売本数,20本以上,0,0%,未達成,継続的な月間20本達成
Phase C,Month 6-8,累積損益分岐点,達成,0,0%,未達成,累積黒字化達成
Phase C,Month 9,CAC最適化,2500円以下,0,0%,未達成,CAC 2,500円以下を達成
Phase C,Month 7,リピート施策開始,完了,0,0%,未達成,記念日リマインドシステム稼働
Phase C,Month 10,レビュー・UGC収集,10件以上,0,0%,未達成,顧客レビュー10件以上
Phase C,Month 9,法人問い合わせ対応体制,完了,0,0%,未達成,法人向け提案書完成
Phase C,Month 12,年間累計販売本数,100本以上,0,0%,未達成,累計販売100本
Phase C,Month 5-12,月間平均販売本数,10本以上,0,0%,未達成,月間10本以上で継続
Phase C,Month 5-12,年商,300万円以上,0,0%,未達成,年商300〜700万円
Phase C,Month 5-12,累積営業利益,39万円以上,0,0%,未達成,初年度累積営業利益39万円
Phase C,Month 5-12,LTV/CAC比率,7.5倍以上,0,0%,未達成,健全基準3倍以上をクリア
Phase C,Month 5-12,粗利率,58%以上,0%,0%,未達成,自社ECで58%、Makuakeで42%
Phase C,Month 5-12,SNSフォロワー数（Instagram）,500人以上,0,0%,未達成,Phase Cで500人以上
Phase C,Month 5-12,SNSフォロワー数（Twitter）,300人以上,0,0%,未達成,Phase Cで300人以上
Phase C,Month 5-12,エンゲージメント率,5%以上,0%,0%,未達成,SNS投稿への反応率
Phase C,Month 5-12,LP訪問数,5000PV/月以上,0,0%,未達成,ランディングページへの訪問数
Phase C,Month 5-12,コンバージョン率,2%以上,0%,0%,未達成,LP訪問→購入の転換率
Phase C,Month 5-12,解約率,5%以下,0%,0%,未達成,注文キャンセル率
Phase C,Month 5-12,リピート率,30%以上,0%,0%,未達成,記念日リマインドによる追加購入率
